Model,Fitur,Accuracy,Macro Precision,Macro Recall,Macro F1
Linear SVM - Raw Word+Char TF-IDF,Raw Word + Character TF-IDF,0.8573407202216067,0.7810906516195223,0.5353478335621021,0.5870136862392354
Linear SVM - Cleaned Word TF-IDF,Cleaned Word TF-IDF,0.7456140350877193,0.6828825756964871,0.41544319961641185,0.46587467311796366
Logistic Regression - Cleaned Word TF-IDF,Cleaned Word TF-IDF,0.7174515235457064,0.558404572701556,0.42786821721798685,0.45225117077610816
Complement Naive Bayes - Cleaned Word TF-IDF,Cleaned Word TF-IDF,0.6625115420129271,0.45788601067668583,0.4165801314453143,0.4322992474117471
Multinomial Naive Bayes - Cleaned Word TF-IDF,Cleaned Word TF-IDF,0.7054478301015698,0.5927617230098147,0.20668258890001343,0.21084454336400651
